dataset,model,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std
heart,LogReg,0.8424655325324519,0.01966007292457428,0.8560797341881912,0.0149212330538077,0.9194927158107333,0.013673652436050662
heart,RandomForest,0.8665887285334193,0.013236257587302649,0.8806458197081352,0.012339307925131979,0.9253801966153283,0.013159194645616329
heart,MLP,0.8335241473836975,0.013834869064725006,0.8464184726759989,0.009203656388705173,0.8961894787913847,0.008835072318445719
heart,FT-Transformer,0.847520761106184,0.014468713543708923,0.8628638227155063,0.008908823495810684,0.9103796023453951,0.013141003453391219
heart,XGBoost,0.8500524066758043,0.013800903245022837,0.8647808837888264,0.009673346374351872,0.9231892666482742,0.012831804431973166
heart,TabNet,0.7979198580988471,0.015312113149067856,0.8209878772435933,0.013922067066220744,0.8689630823986473,0.007470390106825591
heart,StackingEnsemble,0.8678545513182294,0.0046934243008967275,0.880351758240548,0.004582559232008611,0.9287077424849958,0.014048647780844048
diabetes,LogReg,0.7401919962988666,0.03751407198619146,0.6488668241429655,0.06239982035107191,0.8309444686396139,0.019974837279559423
diabetes,RandomForest,0.7416724496877168,0.024142045452601714,0.5894102300585162,0.06710837372141727,0.8275763067370174,0.017736399641059636
diabetes,MLP,0.7371385611843626,0.04124901423991647,0.6540457936720568,0.07790145372092253,0.8163563429918852,0.032946186031205846
diabetes,FT-Transformer,0.7036664353458247,0.03450205609898377,0.616817713577565,0.06601110082877798,0.7841442810609861,0.041045023217600986
diabetes,XGBoost,0.7416261855193153,0.0182402534542395,0.6118900993785011,0.05938551125720417,0.8051517108906827,0.015137234726679162
diabetes,TabNet,0.7220448762433496,0.04377377325527496,0.6100591556210112,0.05430363387786417,0.7675520525070949,0.027231522952354183
diabetes,StackingEnsemble,0.7493060374739764,0.03350596757970452,0.605996115162782,0.07658520959154337,0.8358871060186848,0.02079732316418977
kidney,LogReg,0.9912190963341858,0.011743683108421185,0.992590361445783,0.009956357080062213,0.9996429646836151,0.00043733006502819766
kidney,RandomForest,0.9912617220801364,0.01161580906424026,0.9930875576036866,0.009419176477269375,0.9998236331569664,0.0003527336860670527
kidney,MLP,0.9882779198635976,0.01714275868096008,0.9912560557721848,0.012807519371673176,1.0,0.0
kidney,FT-Transformer,0.9971014492753623,0.005797101449275343,0.9975903614457831,0.004819277108433751,1.0,0.0
kidney,XGBoost,0.9882779198635976,0.010993807100854342,0.9908300969341038,0.008282249400313503,0.998586860670194,0.002404842099568937
kidney,TabNet,0.9883205456095482,0.005840504985508542,0.9908596124616057,0.0046331251227972325,0.9996472663139329,0.0007054673721340166
kidney,StackingEnsemble,0.9971014492753623,0.005797101449275343,0.9976470588235294,0.00470588235294116,1.0,0.0
